Jogador,Equipa_CSV,Jogador_Sofascore,Equipa_Sofascore,Foto_Jogador_URL,Escudo_Clube_URL,Liga,Pais_Liga,Logo_Liga_URL,Match_Score,Qualidade_Match
Pipe Gómez,Once Caldas,Luis Gómez,Once Caldas,https://api.sofascore.com/api/v1/player/958592/image,https://api.sofascore.com/api/v1/team/6118/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.92,ALTA
PJ,Laçi,PJ Dozier,Anadolu Efes,https://api.sofascore.com/api/v1/player/1412282/image,https://api.sofascore.com/api/v1/team/3515/image,Turkish Basketball Super League,Turkey,https://api.sofascore.com/api/v1/unique-tournament/519/image,0.34,BAIXA_REVISAR
Platiny,Lusitania FC Lourosa,Higor Platiny,Lusitânia Lourosa,https://api.sofascore.com/api/v1/player/270293/image,https://api.sofascore.com/api/v1/team/35174/image,Liga Portugal 2,Portugal,https://api.sofascore.com/api/v1/unique-tournament/239/image,0.94,ALTA
Pol Fernández,Godoy Cruz,Pol Fernández,Rosario Central,https://api.sofascore.com/api/v1/player/250231/image,https://api.sofascore.com/api/v1/team/3217/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.4,BAIXA_REVISAR
Praxedes,Red Bull Bragantino,Bruno Praxedes,Red Bull Bragantino,https://api.sofascore.com/api/v1/player/1018093/image,https://api.sofascore.com/api/v1/team/1999/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
Queven,Chonburi,Queven Inácio,Chonburi FC,https://api.sofascore.com/api/v1/player/1394020/image,https://api.sofascore.com/api/v1/team/35886/image,Thai League 1,Thailand,https://api.sofascore.com/api/v1/unique-tournament/1032/image,0.85,ALTA
R. Adé,LDU Quito,Ricardo Adé,LDU,https://api.sofascore.com/api/v1/player/839638/image,https://api.sofascore.com/api/v1/team/5257/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.85,ALTA
R. Aliendro,Vélez Sarsfield,Rodrigo Aliendro,Vélez Sarsfield,https://api.sofascore.com/api/v1/player/830748/image,https://api.sofascore.com/api/v1/team/3208/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
R. Arboleda,São Paulo,Robert Arboleda,São Paulo,https://api.sofascore.com/api/v1/player/338937/image,https://api.sofascore.com/api/v1/team/1981/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
R. Arias,Tigre,Ramón Arias,Tigre,https://api.sofascore.com/api/v1/player/158625/image,https://api.sofascore.com/api/v1/team/7628/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
R. Atencio,Independiente Rivadavia,Rodrigo Atencio,Independiente Rivadavia,https://api.sofascore.com/api/v1/player/1199246/image,https://api.sofascore.com/api/v1/team/36842/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
